DateTime,Max/Min,State,Fuel Type,Supply
02/12/2018 10:30,Max,NEM,Utility-scale Solar,1221.953
02/12/2018 10:30,Max,NEM,Wind,3778.153
27/12/2018 02:30,Min,NEM,Battery,0.011
27/12/2018 02:30,Min,NEM,Biomass,16.7
27/12/2018 02:30,Min,NEM,Black coal,11000.814
27/12/2018 02:30,Min,NEM,Brown coal,4397.131
27/12/2018 02:30,Min,NEM,Distributed PV,0
27/12/2018 02:30,Min,NEM,Gas,773.39
27/12/2018 02:30,Min,NEM,Hydro,761.72
27/12/2018 02:30,Min,NEM,Liquid Fuel,0.057
27/12/2018 02:30,Min,NEM,Utility-scale Solar,0.677
27/12/2018 02:30,Min,NEM,Wind,887.217
08/01/2019 04:30,Min,NEM,Battery,0
08/01/2019 04:30,Min,NEM,Biomass,29.2
08/01/2019 04:30,Min,NEM,Black coal,12007.479
08/01/2019 04:30,Min,NEM,Brown coal,4365.943
08/01/2019 04:30,Min,NEM,Distributed PV,0
08/01/2019 04:30,Min,NEM,Gas,1140.565
08/01/2019 04:30,Min,NEM,Hydro,761.903
08/01/2019 04:30,Min,NEM,Liquid Fuel,0.047
08/01/2019 04:30,Min,NEM,Utility-scale Solar,1.388
08/01/2019 04:30,Min,NEM,Wind,625.251
13/01/2019 11:00,Max,NEM,Battery,0.005
13/01/2019 11:00,Max,NEM,Biomass,29.5
13/01/2019 11:00,Max,NEM,Black coal,11275.583
13/01/2019 11:00,Max,NEM,Brown coal,4015.079
13/01/2019 11:00,Max,NEM,Distributed PV,4214.506
13/01/2019 11:00,Max,NEM,Gas,891.605
13/01/2019 11:00,Max,NEM,Hydro,871.924
13/01/2019 11:00,Max,NEM,Liquid Fuel,0.081
13/01/2019 11:00,Max,NEM,Utility-scale Solar,1472.495
13/01/2019 11:00,Max,NEM,Wind,2217.708
09/02/2019 12:30,Max,NEM,Battery,0
09/02/2019 12:30,Max,NEM,Biomass,15.066
09/02/2019 12:30,Max,NEM,Black coal,12104.053
09/02/2019 12:30,Max,NEM,Brown coal,3531.061
09/02/2019 12:30,Max,NEM,Distributed PV,4014.747
09/02/2019 12:30,Max,NEM,Gas,1034.47
09/02/2019 12:30,Max,NEM,Hydro,507.357
09/02/2019 12:30,Max,NEM,Liquid Fuel,0.027
09/02/2019 12:30,Max,NEM,Utility-scale Solar,1111.89
09/02/2019 12:30,Max,NEM,Wind,3630.58
10/02/2019 06:00,Min,NEM,Battery,2.4
10/02/2019 06:00,Min,NEM,Biomass,38.866
10/02/2019 06:00,Min,NEM,Black coal,11819.754
10/02/2019 06:00,Min,NEM,Brown coal,4220.766
10/02/2019 06:00,Min,NEM,Distributed PV,66.11
10/02/2019 06:00,Min,NEM,Gas,1206.142
10/02/2019 06:00,Min,NEM,Hydro,521.768
10/02/2019 06:00,Min,NEM,Liquid Fuel,0.034
10/02/2019 06:00,Min,NEM,Utility-scale Solar,4.549
10/02/2019 06:00,Min,NEM,Wind,812.079
10/03/2019 01:00,Min,NEM,Battery,4.093
10/03/2019 01:00,Min,NEM,Biomass,38.333
10/03/2019 01:00,Min,NEM,Black coal,12199.956
10/03/2019 01:00,Min,NEM,Brown coal,4689.975
10/03/2019 01:00,Min,NEM,Distributed PV,0
10/03/2019 01:00,Min,NEM,Gas,1755.465
10/03/2019 01:00,Min,NEM,Hydro,495.779
10/03/2019 01:00,Min,NEM,Liquid Fuel,0.034
10/03/2019 01:00,Min,NEM,Utility-scale Solar,1.636
10/03/2019 01:00,Min,NEM,Wind,366.693
31/03/2019 12:00,Max,NEM,Battery,1.516
31/03/2019 12:00,Max,NEM,Biomass,13.883
31/03/2019 12:00,Max,NEM,Black coal,9226.885
31/03/2019 12:00,Max,NEM,Brown coal,3465.534
31/03/2019 12:00,Max,NEM,Distributed PV,3844.295
31/03/2019 12:00,Max,NEM,Gas,779.841
31/03/2019 12:00,Max,NEM,Hydro,1203.33
31/03/2019 12:00,Max,NEM,Liquid Fuel,0.039
31/03/2019 12:00,Max,NEM,Utility-scale Solar,1372.564
31/03/2019 12:00,Max,NEM,Wind,2093.824
07/04/2019 12:00,Max,NEM,Battery,2.914
07/04/2019 12:00,Max,NEM,Biomass,0
07/04/2019 12:00,Max,NEM,Black coal,9258.415
07/04/2019 12:00,Max,NEM,Brown coal,3238.58
